,구,동,구분,단지명,세대수,사용검사일,도로명주소,nm,x,y
328,기흥구,서천동,분양,서그내마을 서천아이파크,243,2009.09.30.,"기흥구 서그내로16번길 14 (서천동, 서그내마을 서천아이파크)",경기 용인시 기흥구 서천동 708,127.072374832462,37.2456694256064
329,기흥구,신갈동,분양,기흥 더샵 프라임뷰,612,2013.09.03.,기흥구 구갈로 71-18 (신갈동),경기 용인시 기흥구 신갈동 733,127.110737118808,37.2826672623871
330,기흥구,중동 ,분양,신동백서해그랑블1차아파트,236,2013.07.26.,"기흥구 동백죽전대로527번길 81 (중동, 서해그랑블 아파트)",경기 용인시 기흥구 중동 1102,127.146528557107,37.2804913755287
331,기흥구,중동 ,분양,어정마을 롯데캐슬에코 2단지,868,2013.06.20.,"기흥구 동백죽전대로527번길 67 (중동, 롯데캐슬)",경기 용인시 기흥구 중동 1101,127.147517403777,37.2845043642127
332,기흥구,중동 ,분양,어정마을 롯데캐슬에코 1단지,1902,2013.06.20.,"기흥구 동백죽전대로527번길 80 (중동, 롯데캐슬1단지)",경기 용인시 기흥구 중동 1096,127.143164923122,37.2844229383667
334,기흥구,하갈동,분양,"""청명호수마을 신안인스빌2단지
""",174,2009.06.08.,"기흥구 덕영대로 1883 (하갈동, 청명호수마을신안인스빌2단지아파트)",경기 용인시 기흥구 하갈동 632,127.091523656588,37.2555472029829
335,기흥구,하갈동,분양,청명호수마을 신안인스빌1단지,829,2009.06.08.,"기흥구 덕영대로 1871 (하갈동, 청명호수마을신안인스빌1단지아파트)",경기 용인시 기흥구 하갈동 631,127.089485497263,37.2536308000942
336,기흥구,청덕동,분양,물푸레마을 용인구성호반베르디움,308,2008.06.26.,"기흥구 구성로 411 (청덕동, 물푸레마을호반베르디움8단지아파트)",경기 용인시 기흥구 청덕동 567,127.153593788736,37.2929253913132
337,기흥구,청덕동,분양,구성 물푸레마을 휴먼시아 7단지,398,2009.07.27.,"기흥구 구성로 395 (청덕동, 휴먼시아물푸레마을7단지아파트)",경기 용인시 기흥구 청덕동 565,127.151617696712,37.2931593253879
338,기흥구,청덕동,분양,구성 물푸레마을 휴먼시아 6단지,367,2009.07.27.,"기흥구 구성로 475 (청덕동, 휴먼시아물푸레마을6단지아파트)",경기 용인시 기흥구 청덕동 499,127.153579691059,37.2954772356295
339,기흥구,청덕동,분양, 물푸레마을 4단지 경남아너스빌 ,240,2008.06.18.,"기흥구 구성로 470 (청덕동, 물푸레마을경남아너스빌아파트)",경기 용인시 기흥구 청덕동 497,127.15360146072,37.2970870890748
340,기흥구,청덕동,분양,구성 물푸레마을 휴먼시아 3단지,988,2008.10.07.,"기흥구 구성3로 65 (청덕동, 휴먼시아물푸레마을3단지아파트)",경기 용인시 기흥구 청덕동 488,127.149441951314,37.2998817515135
341,기흥구,청덕동,분양,청덕마을 광도와이드빌아파트,476,2003.08.08.,"기흥구 언동로71번길 64 (청덕동, 청덕마을광도와이드빌아파트)",경기 용인시 기흥구 청덕동 482,127.146048909546,37.2882117939463
342,기흥구,지곡동,분양,자봉마을 써니밸리아파트,1092,2004.11.05.,"기흥구 사은로 274-22 (지곡동, 자봉마을써니밸리아파트)",경기 용인시 기흥구 지곡동 704,127.134259561553,37.2507075009261
343,기흥구,중동 ,분양,어은목마을 대원칸타빌,432,2006.04.19.,"기흥구 동백2로 37 (중동, 어은목마을대원칸타빌아파트) ",경기 용인시 기흥구 중동 958,127.15709471939,37.2697295041552
344,기흥구,중동 ,분양,어은목마을 한라비발디,248,2006.02.27.,"기흥구 동백4로 72 (중동, 어은목마을한라비발디아파트)",경기 용인시 기흥구 중동 956,127.157433773015,37.2708819348205
345,기흥구,중동 ,분양,성산마을 카운티스,96,2006.10.26.,"기흥구 동백2로 108 (중동, 성산마을 카운티스)",경기 용인시 기흥구 중동 922,127.158377587825,37.2732053591979
