,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,nm,x,y
78773,이카플러그,용인 흥덕마을5단지 호반베르디움,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 흥덕1로79번길 37주차장,24시간 이용가능/외부인 출입제한,거주자외 출입제한,7kW,,경기 용인시 기흥구 영덕동 976,127.070593415212,37.277975571288
78774,이카플러그,용인 흥덕마을5단지 호반베르디움,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 흥덕1로79번길 37주차장,24시간 이용가능/외부인 출입제한,거주자외 출입제한,7kW,,경기 용인시 기흥구 영덕동 976,127.070593415212,37.277975571288
78775,이카플러그,용인 흥덕마을5단지 호반베르디움,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 흥덕1로79번길 37주차장,24시간 이용가능/외부인 출입제한,거주자외 출입제한,7kW,,경기 용인시 기흥구 영덕동 976,127.070593415212,37.277975571288
78776,이카플러그,용인 흥덕마을5단지 호반베르디움,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 흥덕1로79번길 37주차장,24시간 이용가능/외부인 출입제한,거주자외 출입제한,7kW,,경기 용인시 기흥구 영덕동 976,127.070593415212,37.277975571288
78777,이카플러그,용인 흥덕마을5단지 호반베르디움,05,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 흥덕1로79번길 37주차장,24시간 이용가능/외부인 출입제한,거주자외 출입제한,7kW,,경기 용인시 기흥구 영덕동 976,127.070593415212,37.277975571288
78778,이카플러그,용인 흥덕마을5단지 호반베르디움,06,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 흥덕1로79번길 37주차장,24시간 이용가능/외부인 출입제한,거주자외 출입제한,7kW,,경기 용인시 기흥구 영덕동 976,127.070593415212,37.277975571288
78779,이카플러그,용인 흥덕신동아파밀리에,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 흥덕3로 20주차장,24시간 이용가능/외부인 출입제한,거주자외 출입제한,7kW,,경기 용인시 기흥구 영덕동 1069,127.083835179275,37.2716435237123
78780,이카플러그,용인 흥덕신동아파밀리에,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 흥덕3로 20주차장,24시간 이용가능/외부인 출입제한,거주자외 출입제한,7kW,,경기 용인시 기흥구 영덕동 1069,127.083835179275,37.2716435237123
78781,이카플러그,용인 흥덕신동아파밀리에,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 흥덕3로 20주차장,24시간 이용가능/외부인 출입제한,시설 상황에 따라 이용이 제한될 수 있음,7kW,,경기 용인시 기흥구 영덕동 1069,127.083835179275,37.2716435237123
78782,이카플러그,용인 흥덕신동아파밀리에,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 흥덕3로 20주차장,24시간 이용가능/외부인 출입제한,거주자외 출입제한,7kW,,경기 용인시 기흥구 영덕동 1069,127.083835179275,37.2716435237123
78783,이카플러그,용인 흥덕신동아파밀리에,05,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 흥덕3로 20주차장,24시간 이용가능/외부인 출입제한,시설 상황에 따라 이용이 제한될 수 있음,7kW,,경기 용인시 기흥구 영덕동 1069,127.083835179275,37.2716435237123
78784,이카플러그,용인 흥덕신동아파밀리에,06,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 흥덕3로 20주차장,24시간 이용가능/외부인 출입제한,거주자외 출입제한,7kW,,경기 용인시 기흥구 영덕동 1069,127.083835179275,37.2716435237123
78785,이카플러그,용인 흥덕신동아파밀리에,07,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 흥덕3로 20주차장,24시간 이용가능/외부인 출입제한,거주자외 출입제한,7kW,,경기 용인시 기흥구 영덕동 1069,127.083835179275,37.2716435237123
78924,이카플러그,이스트팰리스 4단지1(A2주차장),01,AC완속,경기도 ,용인시 ,"경기도 용인시 수지구 동천로153번길 6(동천동, 한빛마을 래미안 이스트팰리스 4단지)(이스트팰리스 4단지)",24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 수지구 동천동 923,127.086447726322,37.3364560321794
78925,이카플러그,이스트팰리스 4단지1(A2주차장),11,AC완속,경기도 ,용인시 ,"경기도 용인시 수지구 동천로153번길 6(동천동, 한빛마을 래미안 이스트팰리스 4단지)(이스트팰리스 4단지)",24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 수지구 동천동 923,127.086447726322,37.3364560321794
78926,이카플러그,이스트팰리스 4단지2(B2F 41C1기둥),01,AC완속,경기도 ,용인시 ,"경기도 용인시 수지구 동천로153번길 6(동천동, 한빛마을 래미안 이스트팰리스 4단지)(이스트팰리스 4단지)",24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 수지구 동천동 923,127.086447726322,37.3364560321794
78927,이카플러그,이스트팰리스 4단지2(B2F 41C1기둥),02,AC완속,경기도 ,용인시 ,"경기도 용인시 수지구 동천로153번길 6(동천동, 한빛마을 래미안 이스트팰리스 4단지)(이스트팰리스 4단지)",24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 수지구 동천동 923,127.086447726322,37.3364560321794
78928,이카플러그,이스트팰리스 4단지2(B2F 41C1기둥),11,AC완속,경기도 ,용인시 ,"경기도 용인시 수지구 동천로153번길 6(동천동, 한빛마을 래미안 이스트팰리스 4단지)(이스트팰리스 4단지)",24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 수지구 동천동 923,127.086447726322,37.3364560321794
78929,이카플러그,이스트팰리스 4단지3(E1주차장),01,AC완속,경기도 ,용인시 ,"경기도 용인시 수지구 동천로153번길 6(동천동, 한빛마을 래미안 이스트팰리스 4단지)(이스트팰리스 4단지)",24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 수지구 동천동 923,127.086447726322,37.3364560321794
78930,이카플러그,이스트팰리스 4단지3(E1주차장),02,AC완속,경기도 ,용인시 ,"경기도 용인시 수지구 동천로153번길 6(동천동, 한빛마을 래미안 이스트팰리스 4단지)(이스트팰리스 4단지)",24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 수지구 동천동 923,127.086447726322,37.3364560321794
78931,이카플러그,이스트팰리스 4단지3(E1주차장),11,AC완속,경기도 ,용인시 ,"경기도 용인시 수지구 동천로153번길 6(동천동, 한빛마을 래미안 이스트팰리스 4단지)(이스트팰리스 4단지)",24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 수지구 동천동 923,127.086447726322,37.3364560321794
78932,이카플러그,이스트팰리스 4단지4(C3주차장),01,AC완속,경기도 ,용인시 ,"경기도 용인시 수지구 동천로153번길 6(동천동, 한빛마을 래미안 이스트팰리스 4단지)(이스트팰리스 4단지)",24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 수지구 동천동 923,127.086447726322,37.3364560321794
78933,이카플러그,이스트팰리스 4단지4(C3주차장),11,AC완속,경기도 ,용인시 ,"경기도 용인시 수지구 동천로153번길 6(동천동, 한빛마을 래미안 이스트팰리스 4단지)(이스트팰리스 4단지)",24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 수지구 동천동 923,127.086447726322,37.3364560321794
79149,이카플러그,죽전효성해링턴플레이스,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 용구대로 2750지하4층 주차장,24시간 이용가능/외부인 출입제한,거주자외 출입제한,7kW,,경기 용인시 수지구 죽전동 1492,127.109477369629,37.3312486466949
79154,이카플러그,쥬네브문월드,01,AC완속,경기도 ,용인시 ,"경기도 용인시 기흥구 동백5로 22(중동, 쥬네브문월드빌딩)(838 쥬네브문월드빌딩)",24시간 이용가능,,7kW,,경기 용인시 기흥구 중동 838,127.151277088807,37.2758569444677
79155,이카플러그,쥬네브문월드,02,AC완속,경기도 ,용인시 ,"경기도 용인시 기흥구 동백5로 22(중동, 쥬네브문월드빌딩)(838 쥬네브문월드빌딩)",24시간 이용가능,,7kW,,경기 용인시 기흥구 중동 838,127.151277088807,37.2758569444677
79156,이카플러그,쥬네브문월드,03,AC완속,경기도 ,용인시 ,"경기도 용인시 기흥구 동백5로 22(중동, 쥬네브문월드빌딩)(838 쥬네브문월드빌딩)",24시간 이용가능,,7kW,,경기 용인시 기흥구 중동 838,127.151277088807,37.2758569444677
79157,이카플러그,쥬네브문월드,11,AC완속,경기도 ,용인시 ,"경기도 용인시 기흥구 동백5로 22(중동, 쥬네브문월드빌딩)(838 쥬네브문월드빌딩)",24시간 이용가능,,7kW,,경기 용인시 기흥구 중동 838,127.151277088807,37.2758569444677
79158,이카플러그,쥬네브문월드,12,AC완속,경기도 ,용인시 ,"경기도 용인시 기흥구 동백5로 22(중동, 쥬네브문월드빌딩)(838 쥬네브문월드빌딩)",24시간 이용가능,,7kW,,경기 용인시 기흥구 중동 838,127.151277088807,37.2758569444677
79167,이카플러그,지산리조트(클럽하우스),01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 원삼면 죽양대로2000번길 60구내주차장,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,구내시설 상황에 따라 이용이 제한될 수 있음,7kW,,경기 용인시 처인구 원삼면 맹리 1-29,127.335844920046,37.2098757294811
79168,이카플러그,지산리조트(클럽하우스),02,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 원삼면 죽양대로2000번길 60구내주차장,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,시설 상황에 따라 이용이 제한될 수 있음,7kW,,경기 용인시 처인구 원삼면 맹리 1-29,127.335844920046,37.2098757294811
79169,이카플러그,지산리조트(퍼블릭하우스),01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 원삼면 죽양대로2000번길 60경기 용인시 처인구 원삼면 맹리 산 25-1 구내주차장,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,시설 상황에 따라 이용이 제한될 수 있음,7kW,,경기 용인시 처인구 원삼면 맹리 1-29,127.335844920046,37.2098757294811
79170,이카플러그,지산리조트(퍼블릭하우스),02,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 원삼면 죽양대로2000번길 60경기 용인시 처인구 원삼면 맹리 산 25-1 구내주차장,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,시설 상황에 따라 이용이 제한될 수 있음,7kW,,경기 용인시 처인구 원삼면 맹리 1-29,127.335844920046,37.2098757294811
79588,이카플러그,한국 대중불교불이종 동도사,01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 이동읍 어진로 842사찰입구주차장,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,시설 상황에 따라 이용이 제한될 수 있음,7kW,,경기 용인시 처인구 이동읍 어비리 807-9,127.198343101243,37.1077814853393
79589,이카플러그,한국 대중불교불이종 동도사,02,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 이동읍 어진로 842사찰입구주차장,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,시설 상황에 따라 이용이 제한될 수 있음,7kW,,경기 용인시 처인구 이동읍 어비리 807-9,127.198343101243,37.1077814853393
79718,이카플러그,효천마을 신안인스빌1(1주차장),01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 모현읍 문현로 330(671 효천마을신안인스빌2단지아파트),24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 처인구 모현읍 일산리 671,127.244287505544,37.3371266256009
79719,이카플러그,효천마을 신안인스빌1(1주차장),02,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 모현읍 문현로 330(671 효천마을신안인스빌2단지아파트),24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 처인구 모현읍 일산리 671,127.244287505544,37.3371266256009
79720,이카플러그,효천마을 신안인스빌1(1주차장),11,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 모현읍 문현로 330(671 효천마을신안인스빌2단지아파트),24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 처인구 모현읍 일산리 671,127.244287505544,37.3371266256009
79721,이카플러그,효천마을 신안인스빌2(2주차장),01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 모현읍 문현로 330(671 효천마을신안인스빌2단지아파트),24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 처인구 모현읍 일산리 671,127.244287505544,37.3371266256009
79722,이카플러그,효천마을 신안인스빌2(2주차장),11,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 모현읍 문현로 330(671 효천마을신안인스빌2단지아파트),24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 처인구 모현읍 일산리 671,127.244287505544,37.3371266256009
79723,이카플러그,효천마을 신안인스빌3(3주차장),01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 모현읍 문현로 330(671 효천마을신안인스빌2단지아파트),24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 처인구 모현읍 일산리 671,127.244287505544,37.3371266256009
79724,이카플러그,효천마을 신안인스빌3(3주차장),02,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 모현읍 문현로 330(671 효천마을신안인스빌2단지아파트),24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 처인구 모현읍 일산리 671,127.244287505544,37.3371266256009
79725,이카플러그,효천마을 신안인스빌3(3주차장),03,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 모현읍 문현로 330(671 효천마을신안인스빌2단지아파트),24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 처인구 모현읍 일산리 671,127.244287505544,37.3371266256009
79726,이카플러그,효천마을 신안인스빌3(3주차장),11,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 모현읍 문현로 330(671 효천마을신안인스빌2단지아파트),24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 처인구 모현읍 일산리 671,127.244287505544,37.3371266256009
79727,이카플러그,효천마을 신안인스빌3(3주차장),12,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 모현읍 문현로 330(671 효천마을신안인스빌2단지아파트),24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 처인구 모현읍 일산리 671,127.244287505544,37.3371266256009
80161,파워큐브,6단지상록아파트,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 풍덕천로 33,24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 풍덕천동 1028,127.086478742702,37.3189183191966
80162,파워큐브,6단지상록아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 풍덕천로 33,24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 풍덕천동 1028,127.086478742702,37.3189183191966
80163,파워큐브,6단지상록아파트,03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 풍덕천로 33,24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 풍덕천동 1028,127.086478742702,37.3189183191966
80164,파워큐브,6단지상록아파트,04,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 풍덕천로 33,24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 풍덕천동 1028,127.086478742702,37.3189183191966
80380,파워큐브,E편한세상시티수지관리위원회,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 포은대로313번길 7-10(e편한세상 수지),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 풍덕천동 1209,127.083890038258,37.3166948096886
80381,파워큐브,E편한세상시티수지관리위원회,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 포은대로313번길 7-10(e편한세상 수지),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 풍덕천동 1209,127.083890038258,37.3166948096886
80818,파워큐브,㈜대륙(민수),01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 포곡읍 포곡로234번길 22-9(삼계리 530),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 처인구 포곡읍 삼계리 530,127.229774403745,37.2750227530641
80819,파워큐브,㈜대륙(민수),02,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 포곡읍 포곡로234번길 22-9(삼계리 530),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 처인구 포곡읍 삼계리 530,127.229774403745,37.2750227530641
81277,파워큐브,강남마을한라비발디,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 강남동로 128강남마을 한라비발디(상하동 630),24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 630,127.137174942641,37.276432139191
81278,파워큐브,강남마을한라비발디,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 강남동로 128강남마을 한라비발디(상하동 630),24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 630,127.137174942641,37.276432139191
81279,파워큐브,강남마을한라비발디,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 강남동로 128강남마을 한라비발디(상하동 630),24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 630,127.137174942641,37.276432139191
81280,파워큐브,강남마을한라비발디,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 강남동로 128강남마을 한라비발디(상하동 630),24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 630,127.137174942641,37.276432139191
81281,파워큐브,강남마을한라비발디,05,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 강남동로 128강남마을 한라비발디(상하동 630),24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 630,127.137174942641,37.276432139191
81282,파워큐브,강남마을한라비발디,06,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 강남동로 128강남마을 한라비발디(상하동 630),24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 630,127.137174942641,37.276432139191
81283,파워큐브,강남마을한라비발디,07,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 강남동로 128강남마을 한라비발디(상하동 630),24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 630,127.137174942641,37.276432139191
81284,파워큐브,강남마을한라비발디,08,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 강남동로 128강남마을 한라비발디(상하동 630),24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 630,127.137174942641,37.276432139191
81285,파워큐브,강남마을한라비발디,09,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 강남동로 128강남마을 한라비발디(상하동 630),24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 630,127.137174942641,37.276432139191
81286,파워큐브,강남마을한라비발디,10,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 강남동로 128강남마을 한라비발디(상하동 630),24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 630,127.137174942641,37.276432139191
81923,파워큐브,경희대학교국제캠퍼스,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 덕영대로 1732(서천동 1),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 서천동 1,127.081198790803,37.2398001522416
81924,파워큐브,경희대학교국제캠퍼스,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 덕영대로 1732(서천동 1),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 서천동 1,127.081198790803,37.2398001522416
81925,파워큐브,경희대학교국제캠퍼스,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 덕영대로 1732(서천동 1),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 서천동 1,127.081198790803,37.2398001522416
81926,파워큐브,경희대학교국제캠퍼스,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 덕영대로 1732(서천동 1),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 서천동 1,127.081198790803,37.2398001522416
81927,파워큐브,경희대학교국제캠퍼스,05,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 덕영대로 1732(서천동 1),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 서천동 1,127.081198790803,37.2398001522416
82087,파워큐브,고등기술연구원 연구조합,01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 백암면 고안로51번길 175-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 처인구 백암면 고안리 633-2,127.414242754139,37.1473799069694
82088,파워큐브,고등기술연구원 연구조합,02,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 백암면 고안로51번길 175-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 처인구 백암면 고안리 633-2,127.414242754139,37.1473799069694
82089,파워큐브,고등기술연구원 연구조합,03,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 백암면 고안로51번길 175-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 처인구 백암면 고안리 633-2,127.414242754139,37.1473799069694
82090,파워큐브,고등기술연구원 연구조합,04,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 백암면 고안로51번길 175-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 처인구 백암면 고안리 633-2,127.414242754139,37.1473799069694
82091,파워큐브,고등기술연구원 연구조합,05,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 백암면 고안로51번길 175-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 처인구 백암면 고안리 633-2,127.414242754139,37.1473799069694
82092,파워큐브,고등기술연구원 연구조합,06,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 백암면 고안로51번길 175-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 처인구 백암면 고안리 633-2,127.414242754139,37.1473799069694
82098,파워큐브,고림2차양우내안애에듀퍼스트아파트,01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
82099,파워큐브,고림2차양우내안애에듀퍼스트아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
82100,파워큐브,고림2차양우내안애에듀퍼스트아파트,03,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
82101,파워큐브,고림2차양우내안애에듀퍼스트아파트,04,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
82102,파워큐브,고림2차양우내안애에듀퍼스트아파트,05,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
82103,파워큐브,고림2차양우내안애에듀퍼스트아파트,06,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
82104,파워큐브,고림2차양우내안애에듀퍼스트아파트,07,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
82105,파워큐브,고림2차양우내안애에듀퍼스트아파트,08,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
82106,파워큐브,고림2차양우내안애에듀퍼스트아파트,09,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
82107,파워큐브,고림2차양우내안애에듀퍼스트아파트,10,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
82780,파워큐브,그대가크레던스아파트,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 어정로 62-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 675,127.13560201042,37.2678764117371
82781,파워큐브,그대가크레던스아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 어정로 62-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 675,127.13560201042,37.2678764117371
82782,파워큐브,그대가크레던스아파트,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 어정로 62-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 675,127.13560201042,37.2678764117371
82783,파워큐브,그대가크레던스아파트,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 어정로 62-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 675,127.13560201042,37.2678764117371
82784,파워큐브,그대가크레던스아파트,05,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 어정로 62-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 675,127.13560201042,37.2678764117371
82785,파워큐브,그대가크레던스아파트,06,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 어정로 62-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 675,127.13560201042,37.2678764117371
82786,파워큐브,그대가크레던스아파트,07,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 어정로 62-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 675,127.13560201042,37.2678764117371
82787,파워큐브,그대가크레던스아파트,08,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 어정로 62-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 675,127.13560201042,37.2678764117371
82788,파워큐브,그대가크레던스아파트,09,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 어정로 62-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 675,127.13560201042,37.2678764117371
82789,파워큐브,그대가크레던스아파트,10,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 어정로 62-28,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 상하동 675,127.13560201042,37.2678764117371
82895,파워큐브,극동임광아파트입주자대표회의,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 정평로 73(1018 신정마을극동임광아파트),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 풍덕천동 1018,127.089196068087,37.3225443124245
82896,파워큐브,극동임광아파트입주자대표회의,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 정평로 73(1018 신정마을극동임광아파트),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 풍덕천동 1018,127.089196068087,37.3225443124245
82897,파워큐브,극동임광아파트입주자대표회의,03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 정평로 73(1018 신정마을극동임광아파트),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 풍덕천동 1018,127.089196068087,37.3225443124245
82898,파워큐브,극동임광아파트입주자대표회의,04,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 정평로 73(1018 신정마을극동임광아파트),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 풍덕천동 1018,127.089196068087,37.3225443124245
83033,파워큐브,금호어울림아파트,01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 금령로13번길 13,24시간 이용가능,거주자외 출입제한,,,경기 용인시 처인구 김량장동 526,127.197790934347,37.2366019643714
